Node,Community
Lysinibacillus fusiformis,9
Micromonospora terminaliae,9
Rhodococcus sp. p52,9
Peribacillus psychrosaccharolyticus,9
Nocardia sp. NBC_00881,9
Bacillus velezensis,9
Staphylococcus kloosii,9
Verrucosispora sp. WMMD1129,9
Nakamurella antarctica,9
Bacillus inaquosorum,9
Renibacterium salmoninarum,9
Peribacillus sp. SCS-37,9
Lysinibacillus parviboronicapiens,9
Psychrobacillus sp. L3,9
Bacillus licheniformis,9
Curtobacterium sp. MCLR17_058,10
Lysinibacillus agricola,11
Virgibacillus pantothenticus,11
Actinotignum timonense,11
Micromonospora sp. NBRC 110009,11
Actinobaculum sp. 313,11
Actinoalloteichus sp. AHMU CJ021,11
Actinoalloteichus hoggarensis,11
Hoyosella subflava,11
Mesobacillus subterraneus,11
Bacillus shivajii,11
Curtobacterium sp. MCBA15_012,11
Bacillus mycoides,11
Gordonia phthalatica,11
Priestia flexa,11
Micromonospora sp. FIMYZ51,11
Micromonospora sp. NBC_01739,11
Streptomyces sp. NBC_01218,11
Arcanobacterium hippocoleae,11
Dermatobacter hominis,11
Amycolatopsis mongoliensis,11
Bacillus amyloliquefaciens,11
Eggerthella lenta,11
Nocardia vinacea,11
Amycolatopsis sp. FBCC-B4732,11
Rhodococcus sp. JS3073,11
Cytobacillus solani,11
Halobacillus halophilus,11
Corynebacterium sp. L2-79-05,11
Cytobacillus spongiae,11
Actinotignum schaalii,11
Nanchangia anserum,12
Cytobacillus oceanisediminis,12
Streptomyces sp. NBC_01167,13
Peribacillus butanolivorans,13
Cytobacillus kochii,14
Crossiella sp. CA-258035,14
Micromonospora sp. WMMD964,14
Gordonia amicalis,14
Micromonospora sp. NBC_01740,14
Lysinibacillus irui,14
Amycolatopsis roodepoortensis,14
Micromonospora maris,14
Gordonia sp. JH63,14
Pseudonocardia sp. DSM 110487,14
Kutzneria albida,14
Gordonia pseudamarae,14
Alloactinosynnema sp. L-07,14
Micromonospora sp. NBC_01699,14
Lentzea sp. JNUCC 0626,14
Saccharopolyspora sp. ASAGF58,14
Saccharomonospora marina,14
Actinotignum urinale,14
Verrucosispora sp. NA02020,14
Dietzia sp. DQ12-45-1b,14
Verrucosispora sp. WMMA2044,14
Amycolatopsis rhabdoformis,14
Micromonospora sp. NBC_00330,14
Agrococcus sp. SCSIO52902,14
Saccharopolyspora gregorii,14
Bifidobacterium longum,14
Nocardia sp. NBC_00565,14
Amycolatopsis nalaikhensis,14
Kutzneria chonburiensis,14
Paenibacillus barcinonensis,14
Amycolatopsis thermalba,14
Pauljensenia hongkongensis,14
Agrococcus terreus,15
Arthrobacter sp. StoSoilB5,15
Streptomyces sp. NBC_01281,16
Actinocatenispora sera,16
Sanguibacter keddieii,16
Streptomyces sp. NBC_01176,16
Georgenia sp. M64,16
Pseudarthrobacter defluvii,16
Peribacillus muralis,16
Georgenia sp. SUBG003,16
Brachybacterium huguangmaarense,16
Streptomyces sp. NBC_01259,16
Solwaraspora sp. WMMA2065,16
Microbacterium binotii,16
Paenarthrobacter sp. YJN-5,16
Lysinibacillus telephonicus,16
Microbispora sp. NBC_01189,17
Brevibacterium sp. Ap13,17
Mycetocola zhujimingii,17
Streptomyces sp. R17,17
Rathayibacter toxicus,17
Promicromonospora sp. NFX87,18
Corynebacterium atrinae,19
Corynebacterium vitaeruminis,19
Corynebacterium frankenforstense,19
Streptomyces aureoverticillatus,20
Streptomyces sampsonii,21
Streptomyces nigrescens,21
Dactylosporangium roseum,22
Micromonospora aurantiaca,22
Mycobacterium heidelbergense,23
Rhodococcus globerulus,23
Corynebacterium capitovis,24
Corynebacterium liangguodongii,24
Rhodococcus sp. WB9,24
Corynebacterium mayonis,25
Kineococcus sp. NBC_00420,26
Prescottella soli,26
Varibaculum prostatecancerukia,26
Nakamurella sp. PAMC28650,26
Nakamurella sp. A5-74,26
Halobacillus mangrovi,26
Corynebacterium freiburgense,26
Actinomyces timonensis,26
Streptomyces phaeolivaceus,26
Corynebacterium caspium,26
Bifidobacterium pseudocatenulatum,26
Mycobacterium marinum,26
Bifidobacterium actinocoloniiforme,26
Bifidobacterium dentium,26
Bifidobacterium sp. ESL0769,26
Rhodococcus sp. PBTS 1,26
Rhodococcus sp. D-6,26
Rhodococcus sp. JVH1,26
Streptomyces cavourensis,26
Rhodococcus sp. DMU1,26
Rhodococcus sp. W8901,26
Gordonia sp. w5E2,26
Micromonospora sp. CCTCC AA 2012012,26
Rhodococcus sp. ABRD24,26
Paenibacillus sp. FSL F4-0100,26
Streptomyces okerensis,26
Rhodococcus sp. WAY2,26
Rhodococcus sp. PD04,26
Corynebacterium mycetoides,26
Rhodococcus sp. MTM3W5.2,26
Rhodococcus sp. USK10,26
Streptomyces angustmyceticus,26
Rhodococcus aetherivorans,26
Micromonospora siamensis,26
Nocardia seriolae,27
Priestia aryabhattai,28
Pseudonocardia sp. HH130630-07,28
Microbacterium sp. SY138,28
Lysinibacillus capsici,28
Polymorphospora rubra,28
Micromonospora sp. DPT,28
Curtobacterium sp. Curtsp57,28
Nonomuraea coxensis,28
Sutcliffiella sp. FSL R7-0096,28
Blastococcus brunescens,28
Lysinibacillus sphaericus,28
Bacillus wiedmannii,28
Micromonospora sp. NBC_00421,28
Micromonospora sp. WMMA1947,28
Actinomadura verrucosospora,28
Jatrophihabitans cynanchi,28
Rhodococcus coprophilus,28
Nonomuraea sp. N2-4H,28
Mesobacillus sp. AQ2,28
Micromonospora sp. WMMD987,28
Agromyces badenianii,28
Metabacillus sediminis,28
Metabacillus rhizosphaerae,28
Corynebacterium sp. FDAARGOS 1242,29
Bacillus gobiensis,29
Bacillus aquiflavi,29
Microbacterium sp. PM5,29
Corynebacterium crudilactis,29
Micromonospora echinospora,29
Heyndrickxia sporothermodurans,29
Lysinibacillus timonensis,29
Lysinibacillus pakistanensis,29
Corynebacterium dentalis,29
Bifidobacterium sp. ESL0800,29
Mycobacterium senriense,29
Corynebacterium yudongzhengii,29
Bacillus paranthracis,29
Rubrobacter indicoceani,29
Verrucosispora sp. WMMD573,29
Micromonospora sp. WMMD1128,29
Bacillus tropicus,29
Bacillus sp. FJAT-18017,29
Peribacillus sp. B-H-3,29
Corynebacterium camporealensis,29
Bifidobacterium subtile,30
